Target,<F>(raw) [*10^2],σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned) [*10^2],<F>(6hr) [*10^2],<F>(12hr) [*10^2],σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned),<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),$log(σ^2_NXS(unbinned)),$log(err(σ^2_NXS)(unbinned)),$log(σ^2_NXS(6hr)),$log(err(σ^2_NXS)(6hr)),$log(σ^2_NXS(12hr)),$log(err(σ^2_NXS)(12hr)),F_var(unbinned),err(F_var)(unbinned) [*10^-2],F_var(6hr),err(F_var)(6hr) [*10^-2],F_var(12hr),err(F_var)(12hr) [*10^-2],"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2 [*10^4],dof [*10^3],χ^2/dof
PMNJ2345-1555,0.1157,8.3471,-0.0181,1.0009,0.1188,0.1095,0.1309,4.7219,3.5343,1.7537,0.0139,-0.2668,-0.3738,1.6838,1.7466,3.0056,-0.7838,-2.8387,-0.8248,-2.8445,-0.8722,-2.8387,0.4056,0.1787,0.3869,0.1849,0.3663,0.1887,0.0646,0.0417,0.0668,0.0417,5.314,1.147,46.3293
PSRB1259-63,253.3279,85.9152,0.261,13.0875,253.3596,253.6124,253.6724,55.6434,14.8822,19.9854,0.1987,0.2686,-0.469,16.9203,13.9999,12.0548,-5.3195,-7.5738,-5.3473,-7.5841,-5.3632,-7.5738,0.0022,0.0006,0.0021,0.0006,0.0021,0.0006,33.0867,0.0417,24.7019,0.0208,13.0573,0.852,153.2546
WISEJ085009.64-121335.3,-0.0702,1.4625,0.0107,0.9454,0.1102,0.055,0.0425,2.0728,2.0778,1.7515,0.0261,0.3141,0.5862,1.4482,1.1902,1.7851,-0.2389,-2.4943,-0.2465,-2.487,-0.2705,-2.4943,0.7595,0.2109,0.7529,0.2164,0.7324,0.2333,0.1458,0.0417,0.2412,0.1042,12.9488,0.722,179.3466
WISEJ095302.70-084018.2,0.5479,5.9826,0.0235,0.9431,0.5473,0.5535,0.5476,6.1798,0.8008,0.2209,0.0296,0.2928,0.5627,0.9175,1.2898,1.6559,-1.8966,-4.0034,-1.8924,-3.9925,-1.8583,-4.0034,0.1126,0.044,0.1132,0.0449,0.1177,0.045,1.9232,0.1042,0.2216,0.0208,6.5916,0.784,84.077
WISEJ105912.43-113422.6,0.2691,6.9591,0.0258,1.0226,0.2688,0.1959,0.1698,5.9228,4.1724,4.9719,0.0128,0.3567,0.555,3.0294,2.704,3.3062,-1.4001,-3.444,-1.4776,-3.4766,-1.5238,-3.444,0.1995,0.0902,0.1825,0.0915,0.173,0.0924,0.1877,0.0625,0.281,0.0417,5.0155,0.945,53.0742
1RXSJ054357.3-553206,1.0742,40.5794,-0.0078,1.0727,1.1238,1.3881,1.4394,39.3084,7.7605,7.6551,-0.0049,-0.095,-0.1523,1.3958,1.2595,1.97,-1.4543,-4.6108,-1.4532,-4.5939,-1.4602,-4.6108,0.1874,0.0065,0.1877,0.0068,0.1862,0.0071,1.0219,0.0417,1.0075,0.0417,871.4114,11.94,729.8253
1ES2322-409,1.1003,20.5756,0.001,0.983,1.0987,1.1358,1.1378,12.5582,3.5074,3.8689,0.0412,-0.2678,-0.3827,2.6702,2.7417,3.5266,-2.0154,-4.4114,-2.0299,-4.3972,-2.0546,-4.4114,0.0982,0.0197,0.0966,0.0207,0.0939,0.0204,0.7574,0.0208,0.8275,0.0417,24.1107,1.195,201.7633
1RXSJ120417.0-070959,0.6568,1.564,-0.0009,1.2927,0.6567,0.6763,0.6786,1.6062,1.0234,0.9299,-0.0016,-0.0311,-0.0728,1.2891,0.3164,0.0049,-3.506,-4.6833,-3.5237,-4.7455,-3.5263,-4.6833,0.0177,0.0587,0.0173,0.0519,0.0173,0.0516,3.3516,0.2083,1.8973,0.125,0.2085,0.854,2.4414
2MASSJ02271658+0202005,0.216,1.2382,-0.0107,1.2107,0.216,0.2022,0.2029,1.2282,0.6327,0.7067,-0.0112,0.006,0.0124,1.1978,0.3457,0.3633,-2.8183,-3.8988,-2.8533,-3.9558,-2.8914,-3.8988,0.039,0.1619,0.0374,0.1479,0.0358,0.1409,0.4675,0.0833,0.369,0.0625,0.1805,0.922,1.958
2MASXJ04390223+0520443,0.7861,1.6657,0.0028,1.4089,0.7862,0.768,0.7676,1.6834,0.8029,0.6722,0.0022,0.0269,0.0683,1.4127,0.3485,0.4174,-3.6655,-4.8739,-3.6456,-4.9038,-3.6381,-4.8739,0.0147,0.0455,0.015,0.0415,0.0152,0.0416,1.7196,0.1042,7.4312,0.4375,0.2462,1.031,2.3878
